"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"778","Yasuhikotakia sidthimunki ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"779","Saprolegnia parasitica","water mould","Ootmycetes","fungus","","","","","","","","","","","","","","",NA,NA,"","","","","(de la Bastide et al. 2018)","","","",NA,"",11
"780","Bellamya chinensis  OR Cipangopaludina chinensis","Chinese Mysterysnail ","mollusc","invertebrate","yes","","yes","no","","","","","","","","","","",NA,NA,"yes","Washington","Schroeder et al. 2014, BC Ministry List","","(Olden et al. 2009)","considered benign","","",NA,"",44
"781","Bellamya japonica OR Cipangopaludina japonica","Japanese Mysterysnail ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","","","net fouler","","",NA,"",7
"782","Biomphalaria alexandrina ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",10
"783","Biomphalaria glabrata ","Bloodfluke Planorb ","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",104
"784","Biomphalaria pfeifferi ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",19
"785","Biomphalaria straminea ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",32
"786","Bithynia tentaculata ","Faucet Snail ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"yes","Montana","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","Sanland and Pierce 2021","Montana","","",NA,"",30
"787","Bulinus truncatus ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",17
"788","Capeloma decisum ","Pointed Campeloma ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","","","","","",NA,"",0
"789","Corbicula fluminea ","Asian Clam ","mollusc","invertebrate","yes","","yes","no","","","yes","","","","","","","",NA,NA,"yes","Washington","Schroeder et al. 2014, Keller 2007, BC Ministry List; Keller and Lodge 2007","","Ricciardi 1998; Magara et al. 2001; Cataldo et al. 2012, Dexter et al. 2020, Holbrook et al. 2020, Phelps 1994","","","",NA,"",453
"790","Craspedacusta sowerbyi","Freshwater jellyfish","jellyfish","invertebrate","yes","","","no","","","","yes","","","","","","",NA,NA,"","","BC Ministry List, Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",10
"791","Dreissena bugensis ","Quagga Mussel ","mollusc","invertebrate","","","yes","","","","","","","","","","yes","",NA,NA,"","","Schroeder et al. 2014","Therriault et al. 2013, DFO Canadawide RA","","","","",NA,"",343
"792","Dreissena polymorpha ","Zebra Mussel ","mollusc","invertebrate","","","yes","","","","","","","","","","yes","",NA,NA,"","","Schroeder et al. 2014","Therriault et al. 2013, DFO Canadawide RA","","","","",NA,"",1459
"793","Elimia livescens ","Liver Elimia ","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",2
"794","Faxonius rusticus","rusty crayfish","crayfish","invertebrate","","","yes","","","","","","","","","","","yes",NA,NA,"","","Brown and Therriault, Keller and Lodge 2007","","","","","",NA,"",27
"795","Faxonius virilis","Virile or Northern crayfish","crayfish","invertebrate","yes","","","","","","","","","","","","","",NA,NA,"yes","Washington","Brown and Therriault","(Larson et al. 2010; Loffredo et al. 2019)","","","","",NA,"",11
"796","Fusconia flava ","Wabash Pigtoe ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",0
"797","Helisoma anceps ","Two-ridge Rams Horn ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",8
"798","Helisoma trivolvis OR Planorella trivolvis","","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",382
"799","Hemimysis anomala","Bloody red shrimp","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"","","","DFO Canadawide RA","","","","",NA,"",74
"800","Hydra sp.","","","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",2
"801","Indoplanorbis exustus ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",7
"802","Lymnaea natalensis OR Radix natalensis","","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, Duggan et al. 2018","Schroeder et al. 2014","","on Sword plants","","",NA,"",79
"803","Lymnaea palustris Stagnicola palustris","","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018","Schroeder et al. 2014","","","","",NA,"",0
"804","Lymnaea peregra ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",17
"805","Lymnaea stagnalis ","","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",62
"806","Melanoides tuberculata ","Malaysian Trumpet Snail, Red-rimmed Melania ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018","Schroeder et al. 2014","","on Sword plants","","",NA,"",129
"807","Mites","mites","mites","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",1684
"808","Musculium lacustre ","Lake Fingernail Clam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",1
"809","Musculium partumeium ","Swamp Fingernail Clam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",2
"810","Mysis diluviana","Opossum shrimp","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"yes","Montana, Idaho, Washington","","","Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015","","","",NA,"",31
"811","Mytilopsis leucophaeata","dark false mussel","mollusc","invertebrate","","","","","","","","","","","","","","",NA,NA,"","","","Therriault et al. 2013, DFO Canadawide RA","","","","",NA,"",51
"812","Nematoda","nematodes","nematodes","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",523
"813","Oligochaeta","annelida","annelida","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",332
"814","Pacificastus lenisculus","Signal crayfish","crayfish","invertebrate","yes","yes","yes","","","","","","","","yes","","","",NA,NA,"yes","Washington","","(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017), larson and olden 2013","","","","",NA,"",0
"815","Palaemon modestus","Siberian prawn","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Erhardt and Tiffan 2016","","","",NA,"",3
"816","Pectinatella magnifica","Freshwater bryozoan","bryozoan","invertebrate","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",18
"817","Physa acuta ","European Physa ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, Duggan et al. 2018","Schroeder et al. 2014","","on sword plants and Vallisneria plants","","",NA,"",77
"818","Physa fontinalis ","Common Bladder Snail ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",4
"819","Pisidium amnicum ","Greater European Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",9
"820","Pisidium corneum OR Sphaerium corneum ","European Fingernail Clam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","Mackie 1976; Mackie 2000","parasite host","","",NA,"",17
"821","Pisidium henslowanum ","Henslow Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",2
"822","Pisidium moitesserianum ","Pygmy Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",0
"823","Pisidium supinuum ","Humpbacked Peaclam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Schroeder et al. 2014","","","","",NA,"",0
"824","Planorbidae","","mollusc","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",67
"825","Platyhelminthes","Platyhelmenthes","Platyhelmenthes","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants ","","",NA,"",196
"826","Plumatella","bryozoan","bryozoan","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants","","",NA,"",6
"827","Pomacea bridgesi ","Apple Snail, Spiketop Apple Snail, Golden Mystery Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",4
"828","Pomacea canaliculata ","Golden/Channelled Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",274
"829","Pomacea haustrum ","Titan Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",3
"830","Pomacea insularum ","Island Apple Snail ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","","",NA,"",45
"831","Potamopyrgus antipodarum ","New Zealand Mudsnail ","mollusc","invertebrate","yes","","yes","no","","","","","","","","","","",NA,NA,"yes","Idaho, Washington","Schroeder et al. 2014, BC Ministry List","Therriault et al. 2011, DFO Canadawide RA","(Richards et al. 2001; Kistner and Dybdahl 2014) (Paolucci and Thuesen 2020)","","","",NA,"",218
"832","Promcambarus clarkii","Red Swamp crayfish","crayfish","invertebrate","","","yes","","","","","","","yes","","","","",NA,NA,"yes","Washington","Brown and Therriault, Keller and Lodge 2007","(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017)","","","","",NA,"",0
"833","Radix auricularia ","European Ear Snail, Big-eared Radix ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"yes","Washington","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","Larson et al. 2018","","","",NA,"",8
"834","Tardigrada","tardigrade","tardigrade","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",22
"835","Tarebia granifera OR Thiara granifera ","Quilted Melania ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","Schroeder et al. 2014, DFO SLRA 2014","","","","","",NA,"",75
"836","Valvata piscinalis ","European Stream Valvata ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","","","","",NA,"",1
"837","Lepeophtheirus salmonis","sea lice","copepod","parasite","","","","","","","","","","","","","","",NA,NA,"","","","","","concern that it could evolve freshwater tolerance Groner et al. 2019, Ljungfeldt et al. 2017","","",NA,"",52
"838","Myxobolus cerebralis ","Whirling disease parasite","cndaria","parasite","","","","","","","","","","","","","","",NA,NA,"yes","Montana, Alaska","","","Carim et al. 2015; Murcia et al. 2015, Gates et al. 2009, (Arsan and Bartholomew 2008)","","","",NA,"",72
"839","Didymosphenia geminata","Didymo","diatom","phytoplankton","yes","","","yes","","","","","","","","","","",NA,NA,"yes","Washington, Alberta","BC Ministry List","","Blinn 2015, Kirkwood et al. 2007, 2009","","","",NA,"",99
"840","Agapanthus africanus ","lily of the Nile","","plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"841","Chelydra serpentina serpentina","Eastern snapping turtle","turtle","reptile","yes","","","yes","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",25
"842","Trachemys scripta","Slider","Slider","reptile","yes","yes","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",192
"843","piscine orthoreovirus","piscine orthoreovirus (PRV-1)","","virus","","","","","","","","","","","yes","","","",NA,NA,"","","","","","","","",NA,"",4
"844","Viral hemorrhagic septicemia virus ","Viral hemorrhagic septicemia virus (VHSV)","","virus","","","","","","","","","","","yes","","","",NA,NA,"","","","","","","","",NA,"",49
"845","Alona gutatta","","cladocera","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"846","Bosmina coregoni","","cladocera","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","Lee et al. 2016","","","","",NA,"",12
"847","Cephalodella gibba","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"848","Cephalodella hoodi","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",0
"849","Colurella uncinata","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",0
"850","Cupelopagis vorax","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"851","Dicranophorus epicharis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"852","Dunhevedia crassa","","cladocera","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Sword plants","","",NA,"",0
"853","Eucyclops serrulatus","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",3
"854","Harpacticella paradoxa","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Cordell et al. 2007","","","",NA,"",1
"855","Lane hamata","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"856","Lecane bulla","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"857","Lecane closterocerca","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"858","Lecane flexilis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"859","Lecane monostyla","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",1
"860","Lecane pyriformis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",1
"861","Lecane stichea","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"862","Lepadella ovalis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",1
"863","Lepadella patella","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Sword plants","","",NA,"",0
"864","Limnoithona tetraspina","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Cordell et al. 2008","","","",NA,"",11
"865","Microcyclops rubellus","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Sword plants","","",NA,"",1
"866","Nitokra pietshmanni","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",0
"867","Notommata tripus","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",0
"868","Ostracoda","","Ostracoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",86
"869","Phyllognathopus vigueri","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Sword plants","","",NA,"",0
"870","Proales","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Sword plants","","",NA,"",0
"871","Pseudodiaptomus forbesi","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Dexter et al. 2020, Lee et al. 2016, Cordell et al. 2008","","","",NA,"",22
"872","Pseudodiaptomus inopinus","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Cordell et al. 2008","","","",NA,"",16
"873","Ptygura","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",1
"874","Schizopera","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","","",NA,"",6
"875","Sinocalanus doerrii","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","","","Cordell et al. 2008","","","",NA,"",5
"876","Trichocerca","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","Duggan et al. 2018","","","on Vallisneria plants","","",NA,"",4
